,text,sentiment
0,-PRON- d have respond if -PRON- be go,neutral
1,Sooo SAD -PRON- will miss -PRON- here in San Diego,negative
2,-PRON- boss be bully -PRON-,negative
3,what interview leave -PRON- alone,negative
4,son of   why could not -PRON- put -PRON- on the release -PRON- already buy,negative
5,some shameless plug for the good Rangers forum on earth,neutral
6,feeding for the baby be fun when -PRON- be all smile and coo,positive
7,soooo high,neutral
8,both of -PRON-,neutral
9,Journey Wow u just become cool   hehe be that possible,positive
10,as much as i love to be hopeful i reckon the chance be minimal p -PRON- be never go to get -PRON- cake and stuff,neutral
11,-PRON- really really like the song Love Story by Taylor Swift,positive
12,-PRON- sharpie be run dangerously low on ink,negative
13,i want to go to music tonight but i lose -PRON- voice,negative
14,test test from the LG,neutral
15,uh oh -PRON- be sunburn,negative
16,Sok try to plot alternative as -PRON- speak sigh,negative
17,-PRON- have be sick for the past few day   and thus -PRON- hair look wierd   if i do not have a hat on -PRON- would look,negative
18,be back home now       go to miss every one,negative
19,-PRON- s just not that into -PRON-,neutral
20,oh marly -PRON- be so sorry   -PRON- hope -PRON- find -PRON- soon,neutral
21,play ghost Online be really interesting the new update be Kirin pet and Metamorph for third job   can not wait to have a dragon pet,positive
22,be clean the house for -PRON- family who be comme later today,neutral
23,get to restart -PRON- computer   -PRON- think   be suppose to put an end to the constant rebootiness,neutral
24,see waT -PRON- mean bOuT   friidays its called LoSe   FridAy smh,neutral
25,the free fillin app on -PRON- ipod be fun -PRON- be addicted,positive
26,-PRON- be sorry,negative
27,on the way to Malaysiano internet access to Twit,negative
28,juss come backk from Berkeleyy   omg -PRON- madd fun out there   have not be out there in a minute   whassqoodd,positive
29,go to sleep and there be a power cut in Noida   Power back up not work too,negative
30,-PRON- be go home now have -PRON- see -PRON- new twitter design Quiteheavenly isn,positive
31,i hope unni will make the audition   fight dahye unni,positive
32,if -PRON- be any consolation -PRON- get -PRON- BMI test hahaha -PRON- say -PRON- be obese   well so much for be unhappy for about   minute,negative
33,that s very funny   cute kid,positive
34,ahhh -PRON- sleep through the game   -PRON- be go to try -PRON- good to watch tomorrow though -PRON- hope -PRON- play Army,neutral
35,that s -PRON- -PRON- the end tear for Fears vs Eric Prydz DJ Hero,neutral
36,bear and raise in NYC and live in Texas for the past   year   -PRON- still miss NY,negative
37,just in case -PRON- wonder -PRON- be really busy today and this come with with add ton of new blog and update stay tuned,neutral
38,-PRON- be soooooo sleeeeepy the last day o school be todaysniffle,negative
39,a little happy for the wine jeje ok itsm -PRON- free time so who care jaja i love this day,positive
40,car not happy big big dent in boot hope -PRON- be not go to write -PRON- off cross finger and wait,neutral
41,-PRON- be an avid fan of   magazine and i love -PRON- magazine,positive
42,MAYDAY,neutral
43,RATT ROCKED nashville toniteone thing sucked no ENCORE   like in the   they still have a FUN SHOW pearcy have that HOTT bad boy LOOK,neutral
44,-PRON- love to but -PRON- be only available from    and where dear Would love to help   convert -PRON- vidsï¿½,positive
45,the girl in the hair salon ask -PRON- Shall -PRON- trim -PRON- eyebrow how old do -PRON- feel,neutral
46,egh blah and boooooooooooo i dunno wanna go to work   hangover SUCKKKKKK -PRON- be a drunk mess,negative
47,visit -PRON- friendster and facebook,neutral
48,i donbt like to peel prawn i also do not like go shopping run out of money and crawl round the car look for more,negative
