,text,sentiment,Subjectivity,Polarity
0,-PRON- d have respond if -PRON- be go,1,0.0,0.0
1,Sooo SAD -PRON- will miss -PRON- here in San Diego,0,1.0,-0.5
2,-PRON- boss be bully -PRON-,0,0.0,0.0
3,what interview leave -PRON- alone,0,0.0,0.0
4,son of INSULT why could not -PRON- put -PRON- on the release -PRON- already buy,0,0.0,0.0
5,some shameless plug for the good Rangers forum on earth,1,0.6000000000000001,0.7
6,feeding for the baby be fun when -PRON- be all smile and coo,2,0.15000000000000002,0.3
7,soooo high,1,0.5399999999999999,0.16
8,both of -PRON-,1,0.0,0.0
9,Journey Wow u just become cool   hehe be that possible,2,0.8833333333333333,0.15
10,as much as i love to be hopeful i reckon the chance be minimal p -PRON- be never go to get -PRON- cake and stuff,1,0.6,0.2
11,-PRON- really really like the song Love Story by Taylor Swift,2,0.4,0.35
12,-PRON- sharpie be run dangerously low on ink,0,0.3,0.0
13,i want to go to music tonight but i lose -PRON- voice,0,0.0,0.0
14,test test from the LG,1,0.0,0.0
15,uh oh -PRON- be sunburn,0,0.0,0.0
16,Sok try to plot alternative as -PRON- speak sigh,0,0.0,0.0
17,-PRON- have be sick for the past few day   and thus -PRON- hair look wierd   if i do not have a hat on -PRON- would look,0,0.40238095238095245,-0.3880952380952381
18,be back home now       go to miss every one,0,0.0,0.0
19,-PRON- s just not that into -PRON-,1,0.0,0.0
20,oh marly -PRON- be so sorry   -PRON- hope -PRON- find -PRON- soon,1,1.0,-0.5
21,play ghost Online be really interesting the new update be Kirin pet and Metamorph for third job   can not wait to have a dragon pet,2,0.3181818181818182,0.21212121212121213
22,be clean the house for -PRON- family who be comme later today,1,0.35000000000000003,0.18333333333333335
23,get to restart -PRON- computer   -PRON- think   be suppose to put an end to the constant rebootiness,1,0.3333333333333333,0.0
24,see waT -PRON- mean bOuT   friidays its called LoSe   FridAy smh,1,0.6875,-0.3125
25,the free fillin app on -PRON- ipod be fun -PRON- be addicted,2,0.5333333333333333,0.09999999999999998
26,-PRON- be sorry,0,1.0,-0.5
27,on the way to Malaysiano internet access to Twit,0,0.0,0.0
28,juss come backk from Berkeleyy   omg -PRON- madd fun out there   have not be out there in a minute   whassqoodd,2,0.2,0.3
29,go to sleep and there be a power cut in Noida   Power back up not work too,0,0.0,0.0
30,-PRON- be go home now have -PRON- see -PRON- new twitter design quiteheavenly isnINSULT,2,0.45454545454545453,0.13636363636363635
31,i hope unni will make the audition   fight dahye unni,2,0.0,0.0
32,if -PRON- be any consolation -PRON- get -PRON- BMI test hahaha -PRON- say -PRON- be obese   well so much for be unhappy for about   minute,0,0.5,-0.06666666666666665
33,that s very funny   cute kid,2,1.0,0.4125
34,ahhh -PRON- sleep through the game   -PRON- be go to try -PRON- good to watch tomorrow though -PRON- hope -PRON- play Army,1,0.5,0.14999999999999997
35,that s -PRON- -PRON- the end tear for Fears vs Eric Prydz DJ Hero,1,0.0,0.0
36,bear and raise in NYC and live in Texas for the past   year   -PRON- still miss NY,0,0.375,-0.05681818181818182
37,just in case -PRON- wonder -PRON- be really busy today and this come with with add ton of new blog and update stay tuned,1,0.37727272727272726,0.11818181818181818
38,-PRON- be soooooo sleeeeepy the last day o school be todaysniffle,0,0.06666666666666667,0.0
39,a little happy for the wine jeje ok itsm -PRON- free time so who care jaja i love this day,2,0.6799999999999999,0.4025
40,car not happy big big dent in boot hope -PRON- be not go to write -PRON- off cross finger and wait,1,0.30000000000000004,-0.1
41,-PRON- be an avid fan of INSULT magazine and i love -PRON- magazine,2,0.8,0.375
42,MAYDAY,1,0.0,0.0
43,RATT ROCKED nashville toniteone thing sucked no ENCORE   like in the   they still have a FUN SHOW pearcy have that HOTT bad boy LOOK,1,0.43333333333333335,-0.19999999999999993
